date,name,handle,followerCount,status,error
2026-03-16,0x,0xProject,274089,success,
2026-03-16,Agora,withAUSD,21332,success,
2026-03-16,AZEx,azex_io,27561,success,
2026-03-16,Aarna,aarnasays,11133,success,
2026-03-16,Accountable,AccountableData,62952,success,
2026-03-16,Across Protocol,AcrossProtocol,105401,success,
2026-03-16,Acurast,Acurast,131685,success,
2026-03-16,AethonSwap,AethonSwap,6579,success,
2026-03-16,Alchemy,Alchemy,106895,success,
2026-03-16,AllDomains,alldomains,138904,success,
2026-03-16,Allium,AlliumLabs,11502,success,
2026-03-16,Ambient,ambient_finance,94896,success,
2026-03-16,Ambire,ambirewallet,138,success,
2026-03-16,Amertis,AmertisExchange,6545,success,
2026-03-16,Ammalgam,Ammalgam,29209,success,
2026-03-16,ApeBond,apebond,391271,success,
2026-03-16,Apriori,apriori,204237,success,
2026-03-16,Atlantis,atlantisdex_xyz,15626,success,
2026-03-16,Atomic Wallet,atomicwallet,125157,success,
2026-03-16,Azaar,AzaarExchange,2346,success,
2026-03-16,Backpack,Backpack,315928,success,
2026-03-16,Balancer,Balancer,154651,success,
2026-03-16,Band Protocol,BandProtocol,142921,success,
2026-03-16,Bean Exchange,Bean_DEX,76259,success,
2026-03-16,Bebop,bebop_dex,61587,success,
2026-03-16,Biconomy,biconomy,118500,success,
2026-03-16,Bima,bimabtc,148851,success,
2026-03-16,Birdeye,birdeye_so,76325,success,
2026-03-16,Birdeye Data Services,birdeye_data,895,success,
2026-03-16,Bitget Wallet,BitgetWallet,2976869,success,
2026-03-16,Blazpay,blazpaylabs,360990,success,
2026-03-16,BlockStreet,blockst_hq,101020,success,
2026-03-16,BlockVision,blockvisionhq,107940,success,
2026-03-16,Blockdaemon,BlockdaemonHQ,16710,success,
2026-03-16,Blocklive,blocklive_,1316,success,
2026-03-16,Breath of Estova,BreathOfEstova,30174,success,
2026-03-16,Buzzing App,BuzzingApp,0,error,No data
2026-03-16,Bybit Web3 Wallet,Bybit_Web3,0,error,User not found
2026-03-16,CPLX,cplx_io,1123,success,
2026-03-16,CULT,cultdottrade,123155,success,
2026-03-16,Caddy Finance,caddyfi,5902,success,
2026-03-16,Capa,capa_fi,2154,success,
2026-03-16,Castora,Castora_xyz,10695,success,
2026-03-16,Catton AI,Cattontw,86978,success,
2026-03-16,Celeris,0xCeleris,751,success,
2026-03-16,Chainbase,ChainbaseHQ,426811,success,
2026-03-16,Chainlink,chainlink,1393503,success,
2026-03-16,Chainsight,Chainsight_,15630,success,
2026-03-16,Chronicle,ChronicleLabs,11599,success,
2026-03-16,Clober,CloberDEX,33116,success,
2026-03-16,CoNFT,ConftApp,140979,success,
2026-03-16,Codex,trycodex,1138,success,
2026-03-16,Coin98 AI Wallet,coin98_wallet,549299,success,
2026-03-16,Covenant,covenantFi,4590,success,
2026-03-16,Crust Finance,CrustFinance,5181,success,
2026-03-16,Crystal,CrystalExch,37271,success,
2026-03-16,Cult Markets,cultmarkets,99,success,
2026-03-16,Curvance,Curvance,122220,success,
2026-03-16,Cycle Network,cyclenetwork_GO,266266,success,
2026-03-16,Cyferio,cyferio_labs,91,success,
2026-03-16,DAU Cards,DAUCards,6296,success,
2026-03-16,DRKVRS,drkvrs,22455,success,
2026-03-16,DRPC,drpcorg,10265,success,
2026-03-16,DashX,dashxhq,1327,success,
2026-03-16,Defined,definedfi,13423,success,
2026-03-16,Demask Finance,demaskfinance,0,error,No data
2026-03-16,Dialect,saydialect,65475,success,
2026-03-16,Diffuse,DiffuseFi,505,success,
2026-03-16,Dirol Protocol,DirolProtocol,7776,success,
2026-03-16,DiscoCats,mydiscocats,1,success,
2026-03-16,Doppler Finance,dopplerprotocol,5097,success,
2026-03-16,Drake,DrakeExchange,43687,success,
2026-03-16,Dune Analytics,Dune,295509,success,
2026-03-16,Dusted,dusted_app,93,success,
2026-03-16,Dynamic,dynamic_xyz,17935,success,
2026-03-16,Dyson Finance,DysonFinance,53010,success,
2026-03-16,ELFi Protocol,ELFiProtocol,13122,success,
2026-03-16,EOracle,EO_Network,38933,success,
2026-03-16,Eisen Finance,EisenLabs,6188,success,
2026-03-16,Enjoyoors,enjoyoorsxyz,23746,success,
2026-03-16,Entangle,Entanglefi,0,error,No data
2026-03-16,Envio,envio_indexer,4160,success,
2026-03-16,Euclid Protocol,EuclidProtocol,100668,success,
2026-03-16,Euler,eulerfinance,72205,success,
2026-03-16,FUKU,Fuku_nad,1869,success,
2026-03-16,FWX,fwxfinance,88713,success,
2026-03-16,Fans3 AI,Fans3_AI,6591,success,
2026-03-16,Farcaster,farcaster_xyz,231768,success,
2026-03-16,FastLane,0xFastLane,36467,success,
2026-03-16,Fiamma,fiamma_labs,142400,success,
2026-03-16,Fizen.io,fizenapp,93912,success,
2026-03-16,Flap,flapdotsh,62381,success,
2026-03-16,Flipside Crypto,flipsidecrypto,63266,success,
2026-03-16,Folks Finance,FolksFinance,130801,success,
2026-03-16,Fonbnk,fonbnk1,4509,success,
2026-03-16,Fortytwo,fortytwo,35797,success,
2026-03-16,FoxWallet,FoxWallet,164194,success,
2026-03-16,GM Agents,GMAgents_AI,261620,success,
2026-03-16,Garden,gardenfi,10641,success,
2026-03-16,Gasp,Gasp_xyz,79058,success,
2026-03-16,Gateway,Gateway_xyz,8,success,
2026-03-16,Gearbox Protocol,GearboxProtocol,54687,success,
2026-03-16,Gelato,gelatonetwork,68303,success,
2026-03-16,Ghost,0xGhostLogs,4660,success,
2026-03-16,Gifted.art,gifteddotart,594,success,
2026-03-16,GoPlus,goplussecurity,456106,success,
